name,x,y
,0.17,25
,0.19,27
,0.2,24
,0.24,30
,0.24,32
,0.24,29
,0.24,16
,0.25,17
,0.28,14
,0.28,18
,0.31,20
,0.31,22
,0.32,17
,0.34,27
,0.35,26
,0.37,25
,0.38,27
,0.38,23
,0.38,27
,0.4,24
,0.43,14
,0.48,15
,0.49,14
,0.5,16
,0.5,17
,0.51,12.5
,0.51,16
,0.54,17
,0.56,12
,0.57,14
,0.58,15
,0.58,11
,0.59,10
,0.59,12.3
,0.6,11
,0.61,12.9
,0.62,28
,0.62,25
,0.63,26
,0.64,29
,0.65,30
,0.74,32
,0.75,21
,0.76,24
,0.79,31
,0.79,24
,0.8,39
,0.8,26
,0.8,35
,0.8,22
,0.81,34
,0.84,28
,0.85,36
,0.87,32
,0.88,33
,0.9,46
,0.92,50
,0.92,34
,0.93,21
,0.94,22
,0.96,23
,0.97,24
,1,25
,1,22
,1.04,21
,1.16,27
,1.2,23
,1.32,29
,1.36,27
,1.36,21
,1.48,23
,1.48,12
,1.48,32
,1.6,32
,1.72,36
,1.72,38
,1.88,58
,1.92,50
,1.96,30
,2,39
,2,48
,2,52
,2.04,59
,2.12,43
,2.12,44
,2.28,56
,2.28,49
,2.36,60
,2.6,49
,2.88,58
,3.2,61
,3.28,52
,3.44,51
,3.44,45
,3.48,68
,3.52,57
,3.6,54
,3.76,46
,3.8,54
,3.92,56
